"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,
Amount.............................................................................,"1,322,259","34,723","62,681","245,301","326,101","168,838","182,528","302,087",,,
Taxable income:  Number........................................................,"689,468","237,072","114,752","162,339","106,087","35,955","24,752","8,511",,,
Amount.................................................................................,"18,599,949","1,053,472","1,458,882","3,645,901","4,065,266","2,084,989","2,390,822","3,900,617",,,
Total tax credits [8]:Number..................................................,"49,150","6,264","6,476","14,646","12,510","4,177","3,242","1,835",,,
Amount.................................................................................,"78,983","1,639","2,187","5,299","5,119","2,116","2,869","59,754",,,
Child care credit:  Number...................................................,"38,291","3,863","5,702","13,229","10,820","3,022","1,410",245,,,
Amount.............................................................................,"13,694","1,247","1,954","4,509","4,112","1,194",568,110,,,
Earned income credit [9]:Number.........................................,"109,620","83,991","25,629",--,--,--,--,0,,,
Amount.................................................................................,"157,437","138,738","18,699",--,--,--,--,0,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"83,313","74,364","8,949",--,--,--,--,0,,,
Amount.............................................................................,"122,339","116,122","6,218",--,--,--,--,-1,,,
Income tax [11]:Number........................................................,"685,322","233,379","114,435","162,209","106,069","35,952","24,765","8,513",,,
Amount.................................................................................,"3,776,030","158,187","217,258","564,744","665,875","402,852","553,536","1,213,578",,,
Total tax liability [12]:Number................................................,"706,552","252,119","116,220","162,819","106,142","35,963","24,772","8,517",,,
Amount.................................................................................,"3,959,620","185,836","235,383","601,341","701,648","422,544","581,327","1,231,541",,,
Tax due at time of filing [13]:Number....................................,"234,050","68,905","34,707","56,558","38,907","17,211","12,724","5,038",,,
Amount.................................................................................,"577,641","27,925","28,561","65,970","71,577","53,785","93,394","236,429",,,
Overpayments [14]:Number..................................................,"577,827","297,450","82,169","103,852","64,670","17,388","10,182","2,116",,,
Amount.................................................................................,"651,819","239,665","74,255","114,216","98,337","39,947","43,495","41,904",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
VERMONT,,,,,,,,0,,,
Number of returns....................................................................,"277,637","128,847","42,479","53,329","32,132","10,680","7,865","2,305",,,
